攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
0.036,0.7,1655.091814,1654.81,0.70029,0.1,1
0.086,0.7,1655.141795,1654.65,0.70017,0.1,1
0.135,0.7,1655.091769,1655.09,0.70025,0.1,1
0.234,0.7,1655.091679,1654.92,0.70016,0.1,1
0.286,0.7,1655.141752,1654.48,0.7002,0.1,1
0.337,0.7,1655.191725,1655.03,0.70012,0.1,1
0.386,0.7,1655.14168,1655.03,0.70017,0.1,1
0.435,0.7,1655.093715,1655.03,0.70031,0.1,1
0.485,0.7,1655.042722,1654.76,0.70036,0.1,1
0.535,0.7,1654.991743,1654.92,0.70035,0.1,1
0.585,0.7,1654.942741,1654.92,0.70032,0.1,1
0.637,0.7,1654.992748,1654.7,0.70025,0.1,1
0.687,0.7,1655.042781,1654.54,0.70023,0.1,1
0.735,0.7,1654.992806,1654.54,0.70017,0.1,1
0.786,0.7,1655.042766,1654.54,0.7002,0.1,1
0.835,0.7,1654.991767,1655.09,0.70015,0.1,1
0.886,0.7,1655.042672,1654.76,0.70015,0.1,1
0.937,0.7,1654.991753,1654.98,0.70025,0.1,1
0.987,0.7,1654.94267,1654.98,0.70027,0.1,1
1.035,0.7,1654.992766,1654.98,0.7002,0.1,1
1.087,0.7,1655.043741,1655.14,0.70015,0.1,1
1.138,0.7,1655.191782,1654.54,0.69999,0.1,1
1.188,0.7,1655.141744,1654.54,0.69998,0.1,1
1.239,0.7,1655.192752,1654.54,0.70001,0.1,1
1.287,0.7,1655.241667,1654.92,0.7001,0.1,1
1.337,0.7,1655.292778,1654.76,0.70007,0.1,1
1.385,0.7,1655.341724,1654.76,0.70008,0.1,1
1.438,0.7,1655.292717,1654.76,0.70005,0.1,1
1.487,0.7,1655.340677,1654.65,0.70004,0.1,1
1.538,0.7,1655.392687,1654.54,0.70006,0.1,1
1.587,0.7,1655.442755,1654.54,0.70001,0.1,1
1.637,0.7,1655.492719,1655.14,0.69998,0.1,1
