攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5.999,0.7,1677.902,1676.62,0.69866,0.1,1
-5.986,0.7,1678.202,1677.22,0.6986,0.1,1
-5.957,0.7,1677.602,1676.62,0.69861,0.1,1
-5.937,0.7,1678.702,1678.21,0.69842,0.1,1
-5.908,0.7,1677.302,1675.03,0.69838,0.1,1
-5.887,0.7,1679.002,1677.99,0.69874,0.1,1
-5.858,0.7,1677.102,1674.53,0.69804,0.1,1
-5.837,0.7,1679.002,1677.99,0.69905,0.1,1
-5.808,0.7,1676.602,1674.53,0.69791,0.1,1
-5.787,0.7,1679.102,1679.04,0.69945,0.1,1
-5.757,0.7,1676.002,1674.53,0.69804,0.1,1
-5.737,0.7,1679.102,1679.69,0.69949,0.1,1
-5.708,0.7,1675.502,1673.93,0.6982,0.1,1
-5.687,0.7,1679.002,1679.97,0.69996,0.1,1
-5.657,0.7,1675.002,1674.09,0.69831,0.1,1
-5.637,0.7,1678.802,1679.97,0.70019,0.1,1
-5.608,0.7,1674.402,1673.82,0.69855,0.1,1
-5.587,0.7,1678.702,1679.97,0.70016,0.1,1
-5.557,0.7,1674.102,1673.32,0.6987,0.1,1
-5.538,0.7,1678.602,1679.97,0.70044,0.1,1
-5.507,0.7,1673.702,1673.38,0.69881,0.1,1
-5.488,0.7,1678.202,1679.48,0.70079,0.1,1
-5.456,0.7,1673.502,1673.38,0.69863,0.1,1
-5.436,0.7,1678.002,1679.42,0.70088,0.1,1
-5.407,0.7,1673.102,1673.38,0.69875,0.1,1
-5.386,0.7,1677.602,1678.71,0.70111,0.1,1
-5.357,0.7,1672.702,1672.88,0.69891,0.1,1
-5.336,0.7,1677.302,1678.32,0.70111,0.1,1
-5.307,0.7,1672.402,1672.77,0.69907,0.1,1
-5.286,0.7,1676.902,1678.32,0.70122,0.1,1
-5.257,0.7,1672.202,1671.13,0.69906,0.1,1
-5.236,0.7,1676.502,1677.94,0.70149,0.1,1
-5.207,0.7,1672.202,1671.13,0.69869,0.1,1
-5.186,0.7,1676.002,1677.06,0.70163,0.1,1
-5.158,0.7,1671.902,1671.13,0.69844,0.1,1
-5.136,0.7,1675.602,1676.45,0.70172,0.1,1
-5.107,0.7,1671.502,1670.19,0.69817,0.1,1
-5.086,0.7,1675.202,1676.18,0.70169,0.1,1
-5.058,0.7,1671.102,1669.26,0.69829,0.1,1
-5.04,0.7,1674.802,1676.18,0.70155,0.1,1
-5.007,0.7,1670.702,1669.26,0.6982,0.1,1
-5.001,0.7,1674.402,1674.92,0.70155,0.1,1
-5,0.7,1673.25,1673.116,0.70032,0.1,1
-4.965,0.7,1673.002,1672.88,0.70001,0.1,1
-4.957,0.7,1670.302,1668.49,0.69815,0.1,1
-4.913,0.7,1673.102,1672.99,0.69984,0.1,1
-4.907,0.7,1669.802,1667.88,0.69815,0.1,1
-4.865,0.7,1673.202,1673.05,0.69975,0.1,1
-4.858,0.7,1669.302,1667.17,0.69817,0.1,1
-4.812,0.7,1673.202,1673.16,0.69997,0.1,1
-4.806,0.7,1668.902,1667.17,0.6982,0.1,1
-4.764,0.7,1672.902,1672.88,0.70037,0.1,1
-4.756,0.7,1668.302,1666.79,0.69846,0.1,1
-4.714,0.7,1672.802,1673.16,0.70048,0.1,1
-4.708,0.7,1667.802,1666.18,0.6989,0.1,1
-4.663,0.7,1672.502,1673.16,0.70063,0.1,1
-4.658,0.7,1667.402,1666.18,0.69906,0.1,1
-4.612,0.7,1672.302,1673.16,0.70084,0.1,1
-4.608,0.7,1667.102,1666.18,0.69921,0.1,1
-4.564,0.7,1671.902,1672.61,0.70108,0.1,1
-4.556,0.7,1666.902,1665.74,0.69919,0.1,1
-4.511,0.7,1671.402,1672.61,0.70142,0.1,1
-4.507,0.7,1666.702,1665.91,0.69937,0.1,1
-4.463,0.7,1671.002,1672.28,0.70154,0.1,1
-4.457,0.7,1666.402,1665.91,0.69953,0.1,1
-4.414,0.7,1670.602,1672.11,0.70156,0.1,1
-4.406,0.7,1666.202,1665.91,0.69986,0.1,1
-4.363,0.7,1670.202,1671.46,0.70155,0.1,1
-4.357,0.7,1666.102,1665.91,0.69994,0.1,1
-4.313,0.7,1669.802,1670.52,0.70156,0.1,1
-4.307,0.7,1666.102,1666.35,0.70015,0.1,1
-4.263,0.7,1669.602,1670.25,0.70121,0.1,1
-4.256,0.7,1666.002,1666.29,0.70031,0.1,1
-4.215,0.7,1669.302,1670.25,0.7011,0.1,1
-4.207,0.7,1666.102,1666.29,0.70022,0.1,1
-4.162,0.7,1669.102,1669.42,0.70121,0.1,1
-4.157,0.7,1666.102,1666.29,0.70029,0.1,1
-4.112,0.7,1668.802,1668.87,0.7011,0.1,1
-4.107,0.7,1666.202,1665.69,0.70032,0.1,1
-4.062,0.7,1668.602,1668.87,0.70109,0.1,1
-4.057,0.7,1666.302,1665.69,0.70029,0.1,1
-4.012,0.7,1668.202,1668.87,0.7013,0.1,1
-4.007,0.7,1666.222,1665.69,0.70037,0.1,1
-3.962,0.7,1667.633,1667.94,0.70141,0.1,1
-3.958,0.7,1665.914,1665.58,0.70055,0.1,1
-3.913,0.7,1666.833,1667.88,0.70137,0.1,1
-3.906,0.7,1665.606,1665.47,0.70059,0.1,1
-3.861,0.7,1666.134,1667.28,0.7013,0.1,1
-3.857,0.7,1665.306,1665.47,0.70072,0.1,1
-3.812,0.7,1665.426,1666.95,0.70142,0.1,1
-3.808,0.7,1665.113,1665.36,0.7006,0.1,1
-3.762,0.7,1664.734,1665.96,0.70126,0.1,1
-3.757,0.7,1664.914,1664.97,0.70053,0.1,1
-3.714,0.7,1664.042,1665.96,0.70118,0.1,1
-3.706,0.7,1664.606,1664.37,0.70052,0.1,1
-3.662,0.7,1663.434,1665.96,0.70107,0.1,1
-3.658,0.7,1664.414,1664.37,0.70031,0.1,1
-3.611,0.7,1662.826,1664.04,0.70082,0.1,1
-3.607,0.7,1664.114,1663.49,0.70018,0.1,1
-3.566,0.7,1662.614,1663.98,0.70044,0.1,1
-3.557,0.7,1663.914,1661.46,0.69994,0.1,1
-3.517,0.7,1662.214,1663.98,0.70019,0.1,1
-3.506,0.7,1663.522,1661.46,0.6998,0.1,1
-3.468,0.7,1661.913,1661.51,0.69999,0.1,1
-3.457,0.7,1663.122,1661.02,0.69972,0.1,1
-3.414,0.7,1661.714,1661.51,0.69977,0.1,1
-3.407,0.7,1662.714,1661.02,0.69954,0.1,1
-3.366,0.7,1661.405,1660.8,0.69951,0.1,1
-3.357,0.7,1662.222,1659.92,0.69964,0.1,1
-3.316,0.7,1661.221,1660.47,0.69956,0.1,1
-3.307,0.7,1661.714,1659.21,0.69944,0.1,1
-3.264,0.7,1660.905,1659.75,0.69955,0.1,1
-3.257,0.7,1661.122,1658.88,0.69952,0.1,1
-3.213,0.7,1660.705,1659.7,0.69941,0.1,1
-3.207,0.7,1660.606,1658.55,0.69974,0.1,1
-3.165,0.7,1660.406,1659.43,0.69933,0.1,1
-3.157,0.7,1660.113,1658.6,0.69971,0.1,1
-3.114,0.7,1660.322,1659.26,0.69919,0.1,1
-3.107,0.7,1659.613,1658.16,0.69977,0.1,1
-3.065,0.7,1660.206,1659.7,0.6991,0.1,1
-3.057,0.7,1659.222,1657.89,0.69966,0.1,1
-3.015,0.7,1660.006,1659.59,0.69911,0.1,1
-3.006,0.7,1658.782,1657.89,0.69974,0.1,1
-2.967,0.7,1659.868,1659.64,0.69914,0.1,1
-2.957,0.7,1658.578,1658.38,0.69986,0.1,1
-2.915,0.7,1660.048,1659.64,0.69913,0.1,1
-2.908,0.7,1658.38,1658.16,0.69999,0.1,1
-2.862,0.7,1660.146,1659.59,0.69917,0.1,1
-2.856,0.7,1658.28,1658.05,0.69995,0.1,1
-2.812,0.7,1660.252,1659.1,0.69914,0.1,1
-2.807,0.7,1658.182,1658.05,0.7,0.1,1
-2.762,0.7,1660.248,1659.1,0.69936,0.1,1
-2.757,0.7,1657.978,1658.33,0.70006,0.1,1
-2.712,0.7,1660.246,1659.1,0.69939,0.1,1
-2.707,0.7,1657.98,1658,0.70009,0.1,1
-2.663,0.7,1660.246,1659.43,0.69949,0.1,1
-2.657,0.7,1657.88,1658,0.70005,0.1,1
-2.612,0.7,1660.15,1659.7,0.69969,0.1,1
-2.607,0.7,1657.88,1658,0.70002,0.1,1
-2.562,0.7,1659.946,1659.7,0.69996,0.1,1
-2.556,0.7,1657.78,1657.34,0.69984,0.1,1
-2.513,0.7,1659.746,1660.25,0.7002,0.1,1
-2.505,0.7,1657.68,1657.01,0.69973,0.1,1
-2.466,0.7,1659.566,1660.25,0.70031,0.1,1
-2.458,0.7,1657.58,1656.73,0.69956,0.1,1
-2.416,0.7,1659.37,1660.25,0.70041,0.1,1
-2.407,0.7,1657.482,1656.73,0.69942,0.1,1
-2.366,0.7,1658.97,1659.43,0.7006,0.1,1
-2.357,0.7,1657.282,1656.73,0.69937,0.1,1
-2.316,0.7,1658.67,1659.26,0.70068,0.1,1
-2.306,0.7,1656.98,1655.69,0.69938,0.1,1
-2.265,0.7,1658.47,1659.26,0.70075,0.1,1
-2.257,0.7,1656.782,1655.69,0.69936,0.1,1
-2.215,0.7,1658.066,1659.26,0.70083,0.1,1
